feature,final_weighted_vector
year,-0.171385523
tempo,0.069406739
danceability,0.26492428
energy,0.198841301
loudness,0.045875431
speechiness,0.041661313
acousticness,-0.048343925
liveness,-0.051138366
valence,1
duration_ms,-0.068236086
key_0,-0.003303409
key_1,-0.004139428
key_2,-0.003337251
key_3,-0.001195032
key_4,0.002337057
key_5,0.003275877
key_6,0.002245202
key_7,0.003291454
key_8,-0.00295011
key_9,0.00352346
key_10,-0.002627714
key_11,0.002845743
mode_0,0.002453902
mode_1,-0.002661398
